rank,name,count,sex,
298,IVAN,163,boy,
298,ZAK,163,boy,
300,ALEXANDRU,162,boy,
301,ZACH,161,boy,
301,ZAYD,161,boy,
303,FRANKLIN,160,boy,
304,ANDREI,159,boy,
304,DARIUS,159,boy,
306,CASPER,158,boy,
307,MONTY,155,boy,
308,COBY,154,boy,
308,LEIGHTON,154,boy,
310,JIMMY,153,boy,
311,EWAN,152,boy,
311,FABIAN,152,boy,
311,JACE,152,boy,
311,MATEO,152,boy,
311,SZYMON,152,boy,
316,EMMANUEL,151,boy,
316,JOE,151,boy,
318,WALTER,150,boy,
319,COHEN,149,boy,
320,AMIR,148,boy,
320,KYLE,148,boy,
322,ERIK,147,boy,
322,HARRI,147,boy,
322,KEEGAN,147,boy,
325,PRESTON,145,boy,
326,ERNEST,144,boy,
326,REECE,144,boy,
328,AADAM,140,boy,
328,CIAN,140,boy,
328,RAFE,140,boy,
331,BRANDON,139,boy,
331,JEREMIAH,139,boy,
333,CASSIUS,138,boy,
333,EZEKIEL,138,boy,
335,FRANCISZEK,137,boy,
335,JAY,137,boy,
337,AYAN,136,boy,
337,JUNIOR,136,boy,
337,OSIAN,136,boy,
340,KINGSLEY,135,boy,
341,BUDDY,134,boy,
341,CRUZ,134,boy,
343,CARSON,133,boy,
343,KAIRO,133,boy,
343,MILAN,133,boy,
343,PAUL,133,boy,
347,AYDEN,132,boy,
347,MYLO,132,boy,
349,AARAV,131,boy,
349,DENNIS,131,boy,
351,EDUARD,130,boy,
351,RONAN,130,boy,
351,SOLOMON,130,boy,
351,ZACHARIAH,130,boy,
355,LUKA,129,boy,
356,HARIS,128,boy,
356,TRAVIS,128,boy,
356,ZAYAN,128,boy,
359,NATE,127,boy,
360,BILAL,125,boy,
360,BROOKLYN,125,boy,
360,GREYSON,125,boy,
360,ISA,125,boy,
360,MARSHALL,125,boy,
360,ROMEO,125,boy,
366,KOBI,124,boy,
366,SHAY,124,boy,
366,TATE,124,boy,
369,FINNLEY,123,boy,
369,KALEB,123,boy,
371,EDISON,122,boy,
371,HUXLEY,122,boy,
373,HUGH,121,boy,
374,LOCHLAN,120,boy,
375,ELIS,118,boy,
375,HUSSAIN,118,boy,
377,BRUNO,117,boy,
378,DOUGIE,116,boy,
378,JOHNNY,116,boy,
380,KIERAN,115,boy,
380,TOMAS,115,boy,
380,ZAYAAN,115,boy,
383,TIMOTHY,114,boy,
384,ANTONIO,113,boy,
384,BEAR,113,boy,
384,ISMAEEL,113,boy,
387,IBRAHEEM,112,boy,
387,ILYAS,112,boy,
387,PHILIP,112,boy,
387,TOM,112,boy,
391,ERNIE,111,boy,
391,NOEL,111,boy,
391,TYMON,111,boy,
391,WOODY,111,boy,
395,KOBY,110,boy,
396,KANE,109,boy,
397,LACHLAN,108,boy,
397,SAMI,108,boy,
399,AAHIL,107,boy,
399,DECLAN,107,boy,
399,NIKODEM,107,boy,
399,PERCY,107,boy,
403,ARON,106,boy,
403,JAIDEN,106,boy,
403,OLIVIER,106,boy,
406,AZAAN,105,boy,
406,CAIRO,105,boy,
406,HASAN,105,boy,
406,LENNOX,105,boy,
410,MALIK,104,boy,
411,CLAYTON,103,boy,
411,HAMISH,103,boy,
411,HENDRIX,103,boy,
414,ARCHIBALD,102,boy,
414,COLBY,102,boy,
414,ISSAC,102,boy,
414,LAURENCE,102,boy,
414,MADDOX,102,boy,
414,MAGNUS,102,boy,
414,NIALL,102,boy,
414,SIMON,102,boy,
422,JONAS,100,boy,
422,MALAKAI,100,boy,
422,YUNUS,100,boy,
425,IOAN,99,boy,
425,MIKAEEL,99,boy,
427,ALBY,98,boy,
427,ARHAM,98,boy,
427,AYMAN,98,boy,
427,DAWUD,98,boy,
427,NATAN,98,boy,
427,SANTIAGO,98,boy,
433,HADLEY,97,boy,
433,JADEN,97,boy,
435,SEAN,96,boy,
436,ASHLEY,95,boy,
436,HASHIM,95,boy,
436,MARCO,95,boy,
436,ORION,95,boy,
440,HARI,94,boy,
440,KASPER,94,boy,
440,MIKOLAJ,94,boy,
440,MONTGOMERY,94,boy,
440,ZANE,94,boy,
445,DAWID,93,boy,
446,BENTLEY,92,boy,
446,CLARK,92,boy,
446,YAQUB,92,boy,
449,AVERY,91,boy,
449,BRIAN,91,boy,
449,KOBE,91,boy,
449,LENNIE,91,boy,
449,MILLER,91,boy,
454,AMARI,90,boy,
454,JOSH,90,boy,
454,MARIO,90,boy,
454,WIKTOR,90,boy,
458,GEORGIE,89,boy,
458,REGAN,89,boy,
460,ASTON,88,boy,
460,FOX,88,boy,
460,LOKI,88,boy,
460,STEPHEN,88,boy,
460,SULAIMAN,88,boy,
465,ARI,87,boy,
465,LAWSON,87,boy,
465,ODIN,87,boy,
465,RAHEEM,87,boy,
465,RUDI,87,boy,
465,ZAKARIA,87,boy,
471,ALISTAIR,86,boy,
471,ATTICUS,86,boy,
471,AYDIN,86,boy,
471,KIAAN,86,boy,
475,CAIDEN,85,boy,
475,DIEGO,85,boy,
475,EUAN,85,boy,
475,HAIDER,85,boy,
475,LUIS,85,boy,
475,MAXIM,85,boy,
481,JAC,84,boy,
481,LUCIAN,84,boy,
481,RYDER,84,boy,
481,TROY,84,boy,
485,MACSEN,83,boy,
486,ACE,82,boy,
486,JAKOB,82,boy,
486,LAWRENCE,82,boy,
486,MAKSYMILIAN,82,boy,
490,KHALID,81,boy,
490,LAITH,81,boy,
492,AAYAN,80,boy,
492,BARNEY,80,boy,
492,JETT,80,boy,
492,NED,80,boy,
492,RARES,80,boy,
497,ALBI,79,boy,
497,HUGHIE,79,boy,
497,IGOR,79,boy,
497,JAGO,79,boy,
497,YASEEN,79,boy,
502,KYLO,78,boy,
502,RICO,78,boy,
504,ABRAHAM,77,boy,
504,ANAS,77,boy,
504,BENEDICT,77,boy,
504,MATIAS,77,boy,
504,REMI,77,boy,
504,SULLIVAN,77,boy,
504,ZAYYAN,77,boy,
511,ANGELO,76,boy,
511,DAWSON,76,boy,
511,FARIS,76,boy,
511,HENRI,76,boy,
511,JUSTIN,76,boy,
511,KILLIAN,76,boy,
511,MOSES,76,boy,
511,REIGN,76,boy,
511,YOUSEF,76,boy,
520,ANDRE,75,boy,
520,BRAYDEN,75,boy,
520,CAYDEN,75,boy,
520,HEATH,75,boy,
520,ISRAEL,75,boy,
520,KENZO,75,boy,
520,NIKOLAS,75,boy,
520,PRINCE,75,boy,
520,RAY,75,boy,
520,TEODOR,75,boy,
520,TOMOS,75,boy,
531,DALTON,74,boy,
531,HENLEY,74,boy,
531,REID,74,boy,
534,CALVIN,73,boy,
535,ARMAAN,72,boy,
535,CASPIAN,72,boy,
535,DILLON,72,boy,
535,KARTER,72,boy,
535,KRISTIAN,72,boy,
535,NOLAN,72,boy,
541,BRUCE,71,boy,
541,DANIYAL,71,boy,
541,ORSON,71,boy,
544,MATTHIAS,70,boy,
545,AARIZ,69,boy,
545,KADE,69,boy,
545,RALPHY,69,boy,
545,SAMSON,69,boy,
549,AARYAN,68,boy,
549,ANDREAS,68,boy,
549,DANTE,68,boy,
549,IDREES,68,boy,
549,LEONIDAS,68,boy,
549,MD,68,boy,
549,MIGUEL,68,boy,
549,RAYMOND,68,boy,
557,KAYSON,67,boy,
557,KYRON,67,boy,
557,OLIWIER,67,boy,
557,RAIFE,67,boy,
557,RUAIRI,67,boy,
557,SCOTT,67,boy,
557,YASIN,67,boy,
564,AJAY,66,boy,
564,AMAAN,66,boy,
564,ATLAS,66,boy,
564,EDWIN,66,boy,
564,MICHAL,66,boy,
564,OMARI,66,boy,
564,RONALD,66,boy,
564,ZIDAN,66,boy,
572,AYUB,65,boy,
572,CADEN,65,boy,
572,EMMETT,65,boy,
572,FRED,65,boy,
572,ROME,65,boy,
572,STEVEN,65,boy,
572,THIAGO,65,boy,
572,YUVRAJ,65,boy,
580,BRYAN,64,boy,
580,CRISTIAN,64,boy,
580,ESA,64,boy,
580,FRANKY,64,boy,
584,FERGUS,63,boy,
584,KRISH,63,boy,
584,MATHIAS,63,boy,
584,MIKEY,63,boy,
584,WILBUR,63,boy,
584,YOUSUF,63,boy,
590,CAELAN,62,boy,
590,CAI,62,boy,
590,IAN,62,boy,
590,MIKAIL,62,boy,
590,STANISLAW,62,boy,
590,VINNY,62,boy,
596,ALESSANDRO,61,boy,
596,DEEN,61,boy,
596,DENIZ,61,boy,
596,HAROON,61,boy,
596,KHALIL,61,boy,
596,KYAN,61,boy,
596,RUEBEN,61,boy,
596,ZIGGY,61,boy,
604,CASPAR,60,boy,
604,ISMAEL,60,boy,
604,KADEN,60,boy,
604,KAMIL,60,boy,
604,KODY,60,boy,
604,OMER,60,boy,
610,ISHAAN,59,boy,
610,JUDAH,59,boy,
610,MAVERICK,59,boy,
610,RAYAAN,59,boy,
610,REAGAN,59,boy,
610,REHAN,59,boy,
610,TYMOTEUSZ,59,boy,
610,VIHAAN,59,boy,
610,WILF,59,boy,
619,AMOS,58,boy,
619,ARJAN,58,boy,
619,HUBERT,58,boy,
619,KEYAAN,58,boy,
619,KING,58,boy,
619,KYE,58,boy,
619,MATAS,58,boy,
619,SEB,58,boy,
619,SHANE,58,boy,
619,TALHA,58,boy,
629,AYYUB,57,boy,
629,DORIAN,57,boy,
629,EDMUND,57,boy,
629,IANIS,57,boy,
629,IMRAN,57,boy,
629,ISHAQ,57,boy,
629,ZAID,57,boy,
636,EISA,56,boy,
636,EMIR,56,boy,
636,GUY,56,boy,
636,LEE,56,boy,
636,NEO,56,boy,
636,SULAYMAN,56,boy,
636,TUDOR,56,boy,
643,HADI,55,boy,
643,JAI,55,boy,
643,JAXX,55,boy,
646,ARNIE,54,boy,
646,CIARAN,54,boy,
646,GIOVANNI,54,boy,
646,IVOR,54,boy,
646,MCKENZIE,54,boy,
646,MIKAEL,54,boy,
646,ORLANDO,54,boy,
646,QASIM,54,boy,
646,SAHIB,54,boy,
646,USMAN,54,boy,
646,WINSTON,54,boy,
657,ADYAN,53,boy,
657,HARLEN,53,boy,
657,KOBIE,53,boy,
657,MONTAGUE,53,boy,
657,ROGAN,53,boy,
657,SULTAN,53,boy,
657,VEER,53,boy,
657,ZAKARIYYA,53,boy,
